Strategy,Iteration,Horizon,TargetBps,EntryThreshold,ExitThreshold,TrendMin,StopLossPct,TrailingStopPct,TakeProfitPct,MaxHoldBars,AvgReturnPct,MinReturnPct,MaxDrawdownPct,AvgSharpe,PositiveAssetCount,ObjectiveScore,MeetsStoppingConditions,AMD_ReturnPct,AMD_MaxDrawdownPct,AMD_Sharpe,AMD_Trades,AMZN_ReturnPct,AMZN_MaxDrawdownPct,AMZN_Sharpe,AMZN_Trades,GOOGL_ReturnPct,GOOGL_MaxDrawdownPct,GOOGL_Sharpe,GOOGL_Trades,NVDA_ReturnPct,NVDA_MaxDrawdownPct,NVDA_Sharpe,NVDA_Trades,AAPL_ReturnPct,AAPL_MaxDrawdownPct,AAPL_Sharpe,AAPL_Trades,META_ReturnPct,META_MaxDrawdownPct,META_Sharpe,META_Trades,TSLA_ReturnPct,TSLA_MaxDrawdownPct,TSLA_Sharpe,TSLA_Trades,NFLX_ReturnPct,NFLX_MaxDrawdownPct,NFLX_Sharpe,NFLX_Trades
per_asset_arx_v035_h15_e57,35,15,25.0,0.58,0.49999999999999994,2.0,0.06,,,,-1.6525,-12.2506,28.9845,-0.511015,1,-104.129218,False,23.5788,28.9845,1.19578,4.0,-8.8169,11.7906,-1.802362,2.0,-3.1027,13.7827,-0.180533,5.0,-6.2594,12.6094,-0.641185,4.0,-3.1213,12.8603,-0.349619,5.0,-0.0847,11.4231,0.078703,4.0,-3.1631,5.9411,-0.778872,2.0,-12.2506,14.6791,-1.610033,5.0
per_asset_arx_v036_h3_e62,36,3,25.0,0.62,0.54,2.0,0.06,,,,-3.443,-18.5063,22.1113,-0.484992,1,-97.75946,False,-18.5063,22.1113,-1.40615,3.0,0.0,0.0,0.0,0.0,6.2479,7.8423,0.788015,8.0,0.0,0.0,0.0,0.0,-5.5629,8.2799,-1.108901,3.0,-6.5594,8.0406,-1.374032,2.0,-3.1631,5.9411,-0.778872,2.0,0.0,0.0,0.0,0.0
per_asset_arx_v037_h5_e62,37,5,50.0,0.62,0.54,2.0,0.06,,,,-5.0286,-29.8496,29.8496,-0.701469,2,-135.679526,False,-29.8496,29.8496,-2.533234,3.0,-1.9517,7.5462,-0.344396,4.0,-2.1607,10.1987,-0.29565,4.0,7.4173,4.3162,1.032952,5.0,-5.5629,8.2799,-1.108901,3.0,0.0973,7.6136,0.077031,2.0,-5.8723,8.5726,-1.361885,3.0,-2.3461,5.0519,-1.077672,2.0
per_asset_arx_v038_h7_e62,38,7,50.0,0.62,0.54,2.0,0.06,0.08,,,-5.1755,-24.0358,29.9196,-0.711137,2,-124.428175,False,-24.0358,29.9196,-1.817698,5.0,0.0,0.0,0.0,0.0,-4.97,12.7771,-0.75759,4.0,4.0623,4.1457,0.673283,3.0,-10.7648,10.8529,-1.875002,4.0,0.0973,7.6136,0.077031,2.0,-3.1631,5.9411,-0.778872,2.0,-2.6299,5.3246,-1.210252,3.0
per_asset_arx_v039_h10_e62,39,10,50.0,0.62,0.54,3.0,0.06,0.08,,,0.8346,-9.5937,26.1509,-0.509072,3,-67.823668,False,25.121,26.1509,1.348661,4.0,-5.8844,5.8844,-2.112639,2.0,1.0035,9.785,0.211757,4.0,0.012,9.5135,0.087785,3.0,-9.5937,12.1715,-1.584304,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9818,4.8321,-2.023834,2.0
per_asset_arx_v040_h15_e62,40,15,75.0,0.62,0.54,3.0,0.06,0.08,,,6.1959,-5.8886,15.9849,0.253023,2,-33.029954,False,49.9183,15.9849,2.499722,3.0,0.0,0.0,0.0,0.0,11.5057,6.6429,1.227181,2.0,-3.4592,12.4975,-0.451207,2.0,-2.509,7.8792,-0.48402,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8886,9.7867,-0.76749,1.0
per_asset_arx_v041_h3_e50,41,3,75.0,0.5,0.42,3.0,0.06,0.08,,,-5.0445,-21.6166,31.8324,-0.692917,2,-125.160733,False,19.1109,31.8324,1.073199,4.0,-13.1579,18.477,-1.724465,4.0,10.0207,9.785,1.015343,3.0,-7.4949,22.0865,-0.601881,4.0,-10.7058,10.7058,-1.926318,1.0,-11.1362,17.6731,-0.864827,4.0,-21.6166,23.8652,-2.01734,6.0,-5.3762,13.2192,-0.497044,3.0
per_asset_arx_v042_h5_e50,42,5,75.0,0.5,0.42,3.0,0.06,0.08,0.18,,0.6512,-18.5783,31.8324,-0.725197,2,-113.45302,False,82.5964,31.8324,2.574835,8.0,-12.9353,17.8926,-1.644316,3.0,6.9972,12.2642,0.748089,3.0,-16.8545,20.0877,-1.574453,6.0,-12.2592,12.2592,-2.20649,2.0,-17.2861,22.6477,-1.441505,5.0,-18.5783,23.163,-1.631806,6.0,-6.4708,13.2192,-0.625933,3.0
per_asset_arx_v043_h7_e50,43,7,125.0,0.5,0.42,3.0,0.06,0.08,0.18,,4.8087,-16.298,31.8324,-0.459143,3,-94.202824,False,93.0679,31.8324,2.700734,8.0,-11.7692,14.4632,-1.700474,4.0,4.0767,12.4204,0.478877,5.0,2.4727,12.4554,0.333702,4.0,-10.7058,10.7058,-1.926318,1.0,-15.9042,22.6477,-1.296627,5.0,-16.298,21.4385,-1.637106,5.0,-6.4708,13.2192,-0.625933,3.0
per_asset_arx_v044_h10_e50,44,10,125.0,0.5,0.42,3.0,0.06,0.08,0.18,10,8.2921,-22.5435,31.8324,-0.070331,4,-92.432737,False,90.173,31.8324,2.630961,8.0,-10.0342,11.9154,-1.834907,4.0,8.4333,11.8553,0.848323,8.0,-5.9883,18.1993,-0.447882,6.0,-8.8976,12.1715,-1.441799,4.0,10.252,4.7033,1.165125,4.0,-22.5435,24.7655,-2.289343,7.0,4.9423,7.6641,0.806875,4.0
